City_Name,Amenity_Count
Toronto,527026
Ottawa,383870
Brampton,340187
Hamilton,256046
Mississauga,235674
Kitchener,188268
London,135412
Cambridge,96683
Markham,96092
Vaughan,92085
Windsor,76754
Ajax,71321
Oakville,66891
Greater Sudbury / Grand Sudbury,66766
Kingston,65659
Newmarket,62346
Burlington,59493
Richmond Hill,58411
Oshawa,58005
St. Catharines,57195
Barrie,52195
Guelph,51255
Waterloo,50943
Whitby,46407
Pickering,42809
Clarington,36802
Welland,36434
Brantford,35276
Norfolk County,33751
Niagara Falls,33641
Peterborough,31116
Caledon,27654
Sarnia,26078
Haldimand County,22162
Aurora,20739
Orangeville,19660
Georgina,19310
Cornwall,17552
Whitchurch-Stouffville,16815
Fort Erie,16075
East Gwillimbury,13699
Huntsville,13525
Muskoka Lakes,11677
Gravenhurst,11009
Bracebridge,10811
Grimsby,10413
Woolwich,10166
Lincoln,9952
King,9799
Port Colborne,9677
Thorold,9589
Scugog,9467
Strathroy-Caradoc,8902
Niagara-On-The-Lake,8709
Wilmot,8323
South Bruce Peninsula,8293
Uxbridge,8222
Saugeen Shores,8176
Lambton Shores,7811
Middlesex Centre,7441
Pelham,7236
St. Clair,6860
Kincardine,6327
Georgian Bay,6230
Northern Bruce Peninsula,5983
Bluewater,5667
Seguin,5664
Brock,5624
West Lincoln,5559
Thames Centre,5483
Lake Of Bays,5313
South Huron,5031
Brockton,4650
Huron East,4622
Huron-Kinloss,4549
Ashfield-Colborne-Wawanosh,4439
North Dumfries,4309
Mono,4283
Hastings Highlands,4054
Central Huron,3986
Plympton-Wyoming,3964
Wellesley,3626
Tweed,3460
Goderich,3434
The Archipelago,3404
Wainfleet,3365
Arran-Elderslie,3358
Shelburne,2920
Marmora And Lake,2919
North Middlesex,2897
Southwest Middlesex,2676
South Bruce,2616
Bancroft,2572
Centre Hastings,2566
North Huron,2549
Petrolia,2511
Parry Sound,2484
Mcdougall,2463
Mulmur,2414
Melancthon,2409
Whitestone,2367
Stirling-Rawdon,2295
Carling,2215
Amaranth,2161
Grand Valley,2130
Lucan Biddulph,2051
Tyendinaga,1910
Mckellar,1797
Warwick,1730
Howick,1706
Morris-Turnberry,1673
Saugeen 29,1511
East Garafraxa,1494
Faraday,1424
Dawn-Euphemia,1358
Brooke-Alvinston,1352
Enniskillen,1331
Adelaide-Metcalfe,1306
Tyendinaga Mohawk Territory,1155
Madoc,1045
Point Edward,935
Deseronto,934
Wollaston,929
Tudor And Cashel,843
Carlow/Mayo,798
Limerick,623
Walpole Island 46,596
Brant,517
Oil Springs,348
Guelph/Eramosa,263
Newbury,220
"Parry Sound, Unorganized, Centre Part",196
Parry Island First Nation,172
Selwyn,107
Chief'S Point No. 28,97
Mississaugas Of Scugog Island,74
French River 13,66
Cavan Monaghan,58
Lasalle,45
Severn,41
Tay,16
"Sudbury, Unorganized, North Part",14
Henvey Inlet 2,13
Sarnia 45,11
Six Nations (Part) 40,9
Kettle Point 44,9
Puslinch,6
Whitefish Lake 6,6
North Kawartha,6
Loyalist,5
Otonabee-South Monaghan,5
Kawartha Lakes,4
Clearview,4
Killarney,3
Havelock-Belmont-Methuen,3
Ramara,3
Innisfil,2
Algonquin Highlands,2
Addington Highlands,2
Highlands East,2
Adjala-Tosorontio,2
Nairn And Hyman,2
Southgate,2
Wahta Mohawk Territory,2
Clarence-Rockland,2
Madawaska Valley,2
Mcmurrich/Monteith,2
Tillsonburg,2
Milton,1
Georgian Bluffs,1
West Grey,1
Wellington North,1
Erin,1
Chippewas Of Georgina Island First Nation,1
Trent Hills,1
Bayham,1
Chippewas Of The Thames First Nation 42,1
Tiny,1
Moose Point 79,1
